"year","awayteam","away carries","away yards","away tds","hometeam","home carries","home yards","home tds","field"
"2007","New Orleans Saints","26","106","0","Indianapolis Colts","29","164","1","turf"
"2007","Carolina Panthers","38","186","0","St. Louis Rams","21","76","0","turf"
"2007","Atlanta Falcons","28","96","0","Minnesota Vikings","27","139","0","turf"
"2007","Miami Dolphins","20","66","0","Washington Redskins","41","191","1","grass"
"2007","Denver Broncos","32","171","0","Buffalo Bills","26","112","1","turf"
